County,Total Population
CUYAHOGA,1266049
FRANKLIN,1196070
HAMILTON,802516
SUMMIT,541106
MONTGOMERY,536270
LUCAS,437201
STARK,375105
BUTLER,370959
LORAIN,301597
MAHONING,235463
LAKE,229528
WARREN,217310
TRUMBULL,207403
CLERMONT,199109
DELAWARE,181188
MEDINA,173725
LICKING,167715
GREENE,163852
PORTAGE,163851
FAIRFIELD,147509
CLARK,136435
WOOD,128708
RICHLAND,122585
WAYNE,114910
COLUMBIANA,106458
ALLEN,105329
MIAMI,103063
ASHTABULA,100298
GEAUGA,93840
TUSCARAWAS,92391
MUSKINGUM,85934
SCIOTO,78592
ROSS,77475
ERIE,76390
HANCOCK,75670
BELMONT,69626
JEFFERSON,68360
MARION,66216
ATHENS,64489
LAWRENCE,62114
WASHINGTON,61466
KNOX,60793
SANDUSKY,60461
HURON,59294
PICKAWAY,56347
SENECA,56033
ASHLAND,53199
UNION,52786
DARKE,52501
SHELBY,49197
AUGLAIZE,45869
LOGAN,45442
BROWN,44429
HOLMES,43094
HIGHLAND,43047
MADISON,42982
CRAWFORD,42874
FULTON,42572
CLINTON,41887
PREBLE,41873
OTTAWA,41355
MERCER,40867
GUERNSEY,39835
CHAMPAIGN,39602
DEFIANCE,38812
WILLIAMS,37542
COSHOCTON,36840
PERRY,36000
MORROW,34988
PUTNAM,34201
JACKSON,32902
HARDIN,31654
GALLIA,30811
HOCKING,29352
FAYETTE,28849
VAN WERT,28739
CARROLL,28574
PIKE,28515
ADAMS,28366
HENRY,28085
MEIGS,23616
WYANDOT,22591
PAULDING,19308
HARRISON,15705
MORGAN,14926
NOBLE,14601
MONROE,14589
VINTON,13251
